Database TableName ColumnName DataType MaxLength IsNullable IsIdentity
-------- --------- ---------- -------- --------- ---------- ----------
KSESSIONS AssetLookup AssetId bigint 8 0 1
KSESSIONS_DEV AssetLookup AssetId bigint 8 0 1
KSESSIONS AssetLookup AssetIdentifier nvarchar 200 0 0
KSESSIONS_DEV AssetLookup AssetIdentifier nvarchar 200 0 0
KSESSIONS AssetLookup AssetType nvarchar 100 0 0
KSESSIONS_DEV AssetLookup AssetType nvarchar 100 0 0
KSESSIONS AssetLookup CreatedAt datetime2 8 1 0
KSESSIONS_DEV AssetLookup CreatedAt datetime2 8 0 0
KSESSIONS AssetLookup CssSelector nvarchar 400 1 0
KSESSIONS_DEV AssetLookup CssSelector nvarchar 400 1 0
KSESSIONS AssetLookup DisplayName nvarchar 200 1 0
KSESSIONS_DEV AssetLookup DisplayName nvarchar 200 1 0
KSESSIONS AssetLookup IsActive bit 1 0 0
KSESSIONS_DEV AssetLookup IsActive bit 1 0 0
KSESSIONS Participants City nvarchar 200 1 0
KSESSIONS_DEV Participants City nvarchar 200 1 0
KSESSIONS Participants Country nvarchar 200 1 0
KSESSIONS_DEV Participants Country nvarchar 200 1 0
KSESSIONS Participants Email nvarchar 510 1 0
KSESSIONS_DEV Participants Email nvarchar 510 1 0
KSESSIONS Participants JoinedAt datetime2 8 0 0
KSESSIONS_DEV Participants JoinedAt datetime2 8 0 0
KSESSIONS Participants LastSeenAt datetime2 8 1 0
KSESSIONS_DEV Participants LastSeenAt datetime2 8 1 0
KSESSIONS Participants Name nvarchar 200 1 0
KSESSIONS_DEV Participants Name nvarchar 200 1 0
KSESSIONS Participants ParticipantId int 4 0 1
KSESSIONS_DEV Participants ParticipantId int 4 0 1
KSESSIONS Participants SessionId int 4 0 0
KSESSIONS_DEV Participants SessionId int 4 0 0
KSESSIONS Participants UserGuid nvarchar 512 1 0
KSESSIONS_DEV Participants UserGuid nvarchar 512 1 0
KSESSIONS Participants UserToken varchar 8 0 0
KSESSIONS_DEV Participants UserToken varchar 8 0 0
KSESSIONS SessionData Content nvarchar -1 1 0
KSESSIONS_DEV SessionData Content nvarchar -1 1 0
KSESSIONS SessionData CreatedAt datetime2 8 0 0
KSESSIONS_DEV SessionData CreatedAt datetime2 8 0 0
KSESSIONS SessionData CreatedBy nvarchar 200 1 0
KSESSIONS_DEV SessionData CreatedBy nvarchar 200 1 0
KSESSIONS SessionData DataId int 4 0 1
KSESSIONS_DEV SessionData DataId int 4 0 1
KSESSIONS SessionData DataType nvarchar 40 0 0
KSESSIONS_DEV SessionData DataType nvarchar 40 0 0
KSESSIONS SessionData IsDeleted bit 1 0 0
KSESSIONS_DEV SessionData IsDeleted bit 1 0 0
KSESSIONS SessionData SessionId int 4 0 0
KSESSIONS_DEV SessionData SessionId int 4 0 0
KSESSIONS Sessions AlbumId uniqueidentifier 16 0 0
KSESSIONS_DEV Sessions AlbumId uniqueidentifier 16 0 0
KSESSIONS Sessions CreatedAt datetime2 8 0 0
KSESSIONS_DEV Sessions CreatedAt datetime2 8 0 0
KSESSIONS Sessions EndedAt datetime2 8 1 0
KSESSIONS_DEV Sessions EndedAt datetime2 8 1 0
KSESSIONS Sessions ExpiresAt datetime2 8 1 0
KSESSIONS_DEV Sessions ExpiresAt datetime2 8 1 0
KSESSIONS Sessions HostToken nvarchar 16 0 0
KSESSIONS_DEV Sessions HostToken nvarchar 16 0 0
KSESSIONS Sessions MaxParticipants int 4 1 0
KSESSIONS_DEV Sessions MaxParticipants int 4 1 0
KSESSIONS Sessions ModifiedAt datetime2 8 0 0
KSESSIONS_DEV Sessions ModifiedAt datetime2 8 0 0
KSESSIONS Sessions ParticipantCount int 4 1 0
KSESSIONS_DEV Sessions ParticipantCount int 4 1 0
KSESSIONS Sessions ScheduledDate nvarchar 40 1 0
KSESSIONS_DEV Sessions ScheduledDate nvarchar 40 1 0
KSESSIONS Sessions ScheduledDuration nvarchar 20 1 0
KSESSIONS_DEV Sessions ScheduledDuration nvarchar 20 1 0
KSESSIONS Sessions ScheduledTime nvarchar 40 1 0
KSESSIONS_DEV Sessions ScheduledTime nvarchar 40 1 0
KSESSIONS Sessions SessionId int 4 0 0
KSESSIONS_DEV Sessions SessionId int 4 0 0
KSESSIONS Sessions StartedAt datetime2 8 1 0
KSESSIONS_DEV Sessions StartedAt datetime2 8 1 0
KSESSIONS Sessions Status nvarchar 40 0 0
KSESSIONS_DEV Sessions Status nvarchar 40 0 0
KSESSIONS Sessions UserToken nvarchar 16 0 0
KSESSIONS_DEV Sessions UserToken nvarchar 16 0 0

(78 rows affected)
